source_system,department_code,position_name,cleaned_name,category,rate,harm,rank,cluster,etalon_name
1,251,Юрисконсульт,Юрисконсульт,,,,,542.0,Юрисконсульт
1,251,Инженер-энергетик,Инженер-энергетик,,,,,662.0,Инженер энергетик
1,251,Ведущий бухгалтер,Ведущий бухгалтер,,,,,1683.0,Ведущий бухгалтер по учету
1,251,Кассир,Кассир,,,,,172.0,Кассир билет
1,251,Экономист,Экономист,,,,,571.0,Экономист
1,251,Заведующий складом,Заведующий складом,,,,,703.0,Заведующий складом
1,252,концертмейстер,Концертмейстер,,,,,419.0,Концертмейстер
1,252,уборщица,Уборщица,,,,,565.0,Уборщица
1,252,Педагог дополнительного образования,Педагог дополнительного образования,,,,,1642.0,Педагог образования
1,252,преподаватель,Преподаватель,,,,,139.0,Преподаватель
1,252,библиотекарь,Библиотекарь,,,,,,
1,252,сторож,Сторож,,,,,560.0,Сторож
1,252,бухгалтер,Бухгалтер,,,,,61.0,Бухгалтер
1,252,начальник АХЧ,Начальник административно-хозяйственной части,,,,,1009.0,Заместитель заведующей по административно-хозяйственной части
1,252,Менеджер по рекламе,Менеджер по рекламе,,,,,118.0,Ведущий менеджер
1,252,гардеробщица,Гардеробщица,,,,,1304.0,Гардеробщик
1,252,вахтер,Вахтер,,,,,236.0,Вахтер
1,252,главный бухгалтер,Главный бухгалтер,,,,,521.0,Главный бухгалтер
1,252,секретарь руководителя,Секретарь руководителя,,,,,725.0,Секретарь руководителя
1,252,зав.кабинетом,Заведующий кабинетом,,,,,959.0,Заведующий кабинетом
1,252,методист,Методист,,,,,57.0,Методист
1,252,зам.директора,Заместитель директора,,,,,37.0,Заместитель директора
1,252,начальник отдела кадров,Начальник отдела кадров,,,,,1667.0,Начальник отдела кадров
1,252,инженер по охране труда и противопожарной безопасности,Инженер по охране труда противопожарной безопасности,,,,,122.0,Инженер по охране труда
1,252,программист,Программист,,,,,104.0,Программист
1,252,настройщик,Настройщик,,,,,683.0,Настройщик инструментов
1,252,архивариус,Архивариус,,,,,665.0,Архивариус
1,252,рабочий по обслуж.здания,Рабочий по обслуж здания,,,,,1633.0,Ведущий инженер по организации эксплуатации
1,252,зав.канцелярией,Заведующий канцелярией,,,,,893.0,Заведующая канцелярией
1,252,Педагог - организатор,Педагог организатор,,,,,28.0,Педагог- организатор
1,252,звукооператор,Звукооператор,,,,,,
1,252,секретарь уч.части,Секретарь уч части,,,,,464.0,Секретарь учебной части
1,252,директор,Директор,,,,,24.0,Директор
1,252,Инженер-программист (программист),Инженер-программист,,,,,136.0,Инженер- программист
1,252,юрисконсульт,Юрисконсульт,,,,,542.0,Юрисконсульт
1,252,инженер-энергетик,Инженер-энергетик,,,,,662.0,Инженер энергетик
1,252,костюмер,Костюмер,,,,,771.0,Заведующий костюмерной
1,252,Педагог психолог,Педагог психолог,,,,,92.0,Педагог- психолог
1,252,дворник,Дворник,,,,,192.0,Дворник
1,252,медицинский работник,Медицинский работник,,,,,1023.0,Работник
1,252,лаборант,Лаборант,,,,,234.0,Ветеринарный лаборант
1,252,социальный педагог,Социальный педагог,,,,,326.0,Социальный педагог
1,252,зав.отделением,Заведующий отделением,,,,,1636.0,Заведующий отделом
1,252,зам. главного бухгалтера,Заместитель главного бухгалтера,,,,,1679.0,Заместитель бухгалтера
1,252,зав. складом,Заведующий складом,,,,,703.0,Заведующий складом
1,253,настройщик пианино и роялей,Настройщик пианино роялей,,,,,1050.0,Настройщик пианино роялей
1,253,Заместитель директора по учебно-воспитательной работе,Заместитель директора по учебно-воспитательной работе,,,,,124.0,Заместитель директора по работе
1,253,Заведующий хозяйством,Заведующий хозяйством,,,,,366.0,Заведующий хозяйством
1,253,Преподователь без категории,Преподаватель,без категории,,,,139.0,Преподаватель
1,253,Директор,Директор,,,,,24.0,Директор
1,253,Преподаватель высшей категории,Преподаватель,высшая категория,,,,139.0,Преподаватель
1,253,Уборщик производственных и служебных помещений,Уборщик производственных служебных помещений,,,,,793.0,Уборщик производственных служебных помещений
