cluster_id,etalon_name
816,Главный специалист-заместитель начальника отдела программирования
817,Заведующий отделением-врач-ортодонт
818,Начальник отдела молодежной политики спорту
819,Младший воспитатель доп
820,Заведующий архивохранилищем
821,Заведующий -ый пункт
822,Техник по защите информации
823,Начальник финансового отдела по осуществлению
824,Начальник отдела экономического планирования исполнения
825,Экстренный ренген-лаборант
826,Рентгенлаборант кабинета
827,Начальник отдела обеспечения
828,Учитель начальник
829,Начальник отдела автоматизированных систем управления
830,Заместитель директора по библиотечной работе
831,Монтажник каркасно--обшивных конструкций
832,Библиотекарь солнечная
833,Ведущий специалист сектора
834,Начальник отдела -врач-методист
835,Врач по паллиативной помощи
836,Преподаватель гитары
837,Эксперт хозяйства
838,Ведущий специалист-эксперт отдела договорных расходных
839,Консультант по вопросам жкх охраны
840,Заведующий отделением врач по гигиене
841,Водитель автомобиля
842,Режис
843,Методист по работе
844,Помощник
845,Начальник отдела расчетов поставщиками подрядчиками
846,Учитель психолог лаборант
847,Дезинфектор
848,Заведующий хоз
849,Юрист консультант
850,Главный специалист-эксперт по эксплуатации инженерных
851,Х-ка
852,Начальник отдела развития инфраструктуры
853,Заведующий отделением
854,Ведущий эксперт управления кадровой организационной
855,Заведующая кабинетом
856,Заведующая учебной частью
857,Логопед-учитель
858,Консультанта по жилищно-бытовым вопросам
859,Воспитатель дополнительный
860,Заведующий кафедрой доцент
861,Инжинер-программист отдела обеспечения
862,Начальник отдела финансового хозяйственного учета
863,Главный специалист усзн
864,Секретарь судьи
865,Заведующий отделом работы студентами
866,Министр культуры
867,Врач акушер-гинеколог
868,Начальник административного отдела
869,Начальник центра прикладных квалификаций
870,Учитель старший классов
871,Заведующий аптекой
872,Переплетчик документов
873,Руководитель воспитания
874,Врач-сердечно-сосудистый хирург
875,Заведующий кабинетом профилактики- врач по
876,Обувщик
877,Методист ромц
878,Директор- начальник еддс
879,Преподаватель преподаватели
880,Врач по паллиат мед помощник
881,Мед сес каб врача-гериатра
882,Врач-терапевт круглосуточный стационар
883,Реставратор художественных изделий декоративных предметов
884,Заведующий мед отделением
885,Оператор очистных сооружений
886,Заместитель начальника единой службы
887,Земеститель главы
888,Профильный труд
889,Специалист по обеспечению проживающих нуждающихся
890,Специалист осуществляющий первичный учет
891,Культорганизатор
892,Заместитель директора по воспитат работе
893,Заведующая канцелярией
894,Заместитель руководителя службы юридического сопровождения
895,Экономист по снабжению
896,Учитель математики
897,Начальник отдела оборудования телефонной связи
898,Техник-электроник
899,Горничная
900,Токарь
901,Заведующий отделом кино-видеообслуживания
902,Заведующая отделением организации предоставления помощи
903,Врач-педиатр к-та неотложной помощи
904,Заместитель начальника по хозяйственным вопросам
905,Главный специалист-эксперт контроля
906,Бухгалтер -ой категории
907,Участковый врач-терапевт
908,Начальник учреждения совмещение
909,Врач терап дневн стац
910,Сетра врача -стоматолога -хирурга
911,Заведующий общежитием
912,Ведущий испектор
913,Педагог дополнит образования сов-ль
914,Начальника учреждения
915,Преподаватель-совместитель внешний
916,Инструктор-методист по лечебной физкультуре
917,Заведуюший
918,Заведующая сектором
919,Руководитель моц
920,Санитарка терапевт отд пол
921,Инженер по обслуживанию
922,Начальник отдела контроля качества результатов
923,Специалист разряда
924,Заведующий для детей
925,Ведущий инженер программист отдела средств
926,Начальник -главный бухгалтер
927,Завхоз
928,Врач фтизиатр
929,Главный специалист-эксперт отдела надзора за
930,Главный специалист-ответственный секретарь кдн
931,Специалист по расчетам организациями подотчетными
932,Врач нарколог
933,Преподаватель без квалификационной категории
934,Заведующий информационным центром
935,Заместитель директора по арх-главный арх
936,Заведующий отделением врач-торакальный хирург
937,Начальника инспекции
938,Специалист по делопроизводству
939,Слесарь-сантехник
